date_trans    date_post    descriptioin    currency    amount    cardnumber    area_trans    transamount    time    ispayment
交易日    记账日    交易摘要    币种    人民币金额    卡号    交易地点    交易地金额    交易时间    是否还款

2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:21    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:29    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:34    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:39    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:40    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:40    0
2013-04-29    2013-04-29    withdraw-cash    USD    500    687382738748334456    NANJING    500    2013-04-29-13:03:48    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    25.0    687382738748334456    NANJING    25.0    2013-04-29-13:03:48    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:48    0
2013-04-29    2013-04-29    withdraw-cash    USD    500    687382738748334456    NANJING    500    2013-04-29-13:03:50    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    25.0    687382738748334456    NANJING    25.0    2013-04-29-13:03:50    0
2013-04-29    2013-04-29    xiaofei    RMB    100    687382738748334456    nanjing    100    2013-04-29-13:03:50    0
2013-04-29    2013-04-29    xiaofei    RMB    5000    687382738748334456    nanjing    5000    2013-04-29-13:04:46    0
2013-04-29    2013-04-29    xiaofei    RMB    5000    687382738748334456    nanjing    5000    2013-04-29-13:05:04    0
2013-04-29    2013-04-29    withdraw-cash    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:35    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:35    0
2013-04-29    2013-04-29    withdraw-cash    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:36    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:36    0
2013-04-29    2013-04-29    withdraw-cash    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:38    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    500    687382738748334456    NANJING    500    2013-04-29-13:18:38    0
2013-04-29    2013-04-29    withdraw-cash    USD    50    687382738748334456    NANJING    50    2013-04-29-13:19:03    0
2013-04-29    2013-04-29    withdraw-cashservice-charge    USD    50    687382738748334456    NANJING    50    2013-04-29-13:19:03    0
2013-04-29    2013-04-29    withdraw-cash    USD    50    687382738748334456    NANJING    50    2013-04-29-13:19:37    0
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-13:25:54    1
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-13:26:03    1
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-13:27:58    1
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-17:40:24    1
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-17:40:36    1
2013-04-29    2013-04-29    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-04-29-17:42:55    1
2013-05-03    2013-05-03    payment    RMB    -5000.0    687382738748334456    nanjing    -5000.0    2013-05-03-10:00:45    1
2013-05-04    2013-05-04    crashcrash    USD    50    687382738748334456    NANJING    50    2013-05-04-13:30:52    0
2013-05-04    2013-05-04    withdraw-cash    USD    50    687382738748334456    NANJING    50    2013-05-04-13:31:32    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    USD    50    687382738748334456    NANJING    50    2013-05-04-13:31:32    0
2013-05-04    2013-05-04    withdraw-cash    USD    50    687382738748334456    NANJING    50    2013-05-04-14:29:54    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    USD    50    687382738748334456    NANJING    50    2013-05-04-14:29:54    0
2013-05-04    2013-05-04    withdraw-cash    USD    50    687382738748334456    NANJING    50    2013-05-04-15:00:31    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    USD    50    687382738748334456    NANJING    50    2013-05-04-15:00:31    0
2013-05-04    2013-05-04    withdraw-cash    RMB    120    687382738748334456    NANJING    120    2013-05-04-15:14:40    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    RMB    120    687382738748334456    NANJING    120    2013-05-04-15:14:40    0
2013-05-04    2013-05-04    withdraw-cash    RMB    130    687382738748334456    NANJING    130    2013-05-04-15:16:18    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    RMB    130    687382738748334456    NANJING    130    2013-05-04-15:16:18    0
2013-05-04    2013-05-04    withdraw-cash    RMB    100    687382738748334456    NANJING    100    2013-05-04-15:16:32    0
2013-05-04    2013-05-04    withdraw-cashservice-charge    RMB    5.0    687382738748334456    NANJING    5.0    2013-05-04-15:16:32    0
2013-05-04    2013-05-04    payment    RMB    -123.0    687382738748334456    NANJING    -123.0    2013-05-04-15:22:48    1
2013-05-06    2013-05-06    withdraw-cash    RMB    124    687382738748334456    NANJING    124    2013-05-06-15:27:11    0
2013-05-06    2013-05-06    withdraw-cashservice-charge    RMB    6.2    687382738748334456    NANJING    6.2    2013-05-06-15:27:11    0
2013-05-06    2013-05-06    payment    RMB    -1000.0    687382738748334456    NANJING    -1000.0    2013-05-06-15:27:52    1
